user_id,isbn,rating
1,9781317896333,2
1,9781317820345,3
1,9783030625290,4
1,9781782621898,2
1,9780205072651,1
2,9781317896333,3
2,9781317820345,4
2,9783030625290,5
2,9781782621898,3
2,9780205072651,2
3,9781317896333,4
3,9781317820345,5
3,9783030625290,6
3,9781782621898,4
3,9780205072651,3
4,9781317896333,5
4,9781317820345,1
4,9783030625290,2
4,9781782621898,5
4,9780205072651,4
5,9781317896333,1
5,9781317820345,2
5,9783030625290,3
5,9781782621898,1
5,9780205072651,5
6,9781317896333,2
6,9781317820345,3
6,9783030625290,4
6,9781782621898,2
6,9780205072651,1
7,9781317896333,3
7,9781317820345,4
7,9783030625290,5
7,9781782621898,3
7,9780205072651,2
8,9781317896333,4
8,9781317820345,5
8,9783030625290,1
8,9781782621898,4
8,9780205072651,3
9,9781317896333,5
9,9781317820345,1
9,9783030625290,2
9,9781782621898,5
9,9780205072651,4
10,9781317896333,1
10,9781317820345,2
10,9783030625290,3
10,9781782621898,1
10,9780205072651,5
